symbol,last_year,last_price
1010,2024,27.206747009093505
1020,2024,13.158540802001951
1030,2024,13.16134404373169
1050,2024,17.07999982070923
1060,2024,36.89799213026422
1080,2024,20.186120048522948
1120,2024,85.85301214624121
1140,2024,30.55979944610596
1150,2024,31.44684001922608
1180,2024,36.750200953349534
1201,2024,12.829798162222868
1202,2024,40.42068274624376
1210,2024,31.954819192848053
1211,2024,48.061245025879884
1212,2024,162.23132550955776
1213,2024,76.47510052110297
1214,2024,27.967845069885254
1301,2024,30.279518142761475
1302,2024,46.10863451976853
1303,2024,5.897911646279944
1304,2024,34.415261012004564
1320,2024,64.80381515993172
1810,2024,25.937630526990777
1820,2024,2.652650599498825
1830,2024,206.6313249212671
1831,2024,6.763172682030612
2001,2024,16.977028126697462
2010,2024,75.77871498812634
2020,2024,117.44979944190824
2030,2024,81.13975895648022
2040,2024,28.706839981079103
2050,2024,29.76629203033448
2060,2024,11.746506013065936
2070,2024,33.647791230534935
2080,2024,93.89600003051758
2090,2024,24.34240963947342
2100,2024,42.896385606512965
2110,2024,73.30923714695207
2120,2024,37.53192782114788
2130,2024,29.578310821533204
2140,2024,18.046838967196912
2150,2024,46.39740002441406
2160,2024,33.73567503810408
2170,2024,41.111646659881714
2180,2024,50.143574312508825
2190,2024,33.367871510455885
2200,2024,11.883813144683838
2210,2024,29.20506021583894
2220,2024,17.777831353336932
2222,2024,29.125000076293944
2230,2024,9.080200819605324
2240,2024,25.992570264272423
2250,2024,22.366399559021
2270,2024,360.4867474046577
2280,2024,57.11365458476974
2290,2024,38.68875497412012
2300,2024,65.63458139038086
2310,2024,29.31068275635501
2320,2024,38.11124496766362
2330,2024,38.14460003662109
2340,2024,16.99373498020402
2350,2024,8.506465881225095
2360,2024,44.4361445875053
2370,2024,32.78240970626892
2380,2024,8.000843379392203
3002,2024,9.550120480089303
3003,2024,18.555903653064405
3004,2024,9.427469916133038
3005,2024,16.5907631111911
3007,2024,38.57630512896312
3008,2024,2.765702805844656
3010,2024,28.716279975891112
3020,2024,32.76606431064835
3030,2024,44.06566267511453
3040,2024,56.006024218946095
3050,2024,36.79277099854496
3060,2024,27.05650598457061
3080,2024,34.09156639221682
3090,2024,12.749959880568415
3091,2024,10.938795170152044
4001,2024,12.134216817986056
4002,2024,112.40562233675917
4003,2024,94.46425699134429
4004,2024,164.5196787516276
4005,2024,191.914859204886
4006,2024,24.213855391046607
4007,2024,50.30642566910709
4008,2024,35.826505990392235
4009,2024,85.23694776052452
4011,2024,14.80867473188653
4012,2024,4.618393574373789
4020,2024,21.926345319633025
4030,2024,21.607712036132813
4031,2024,49.86526100128052
4040,2024,20.11224004364013
4050,2024,73.01411431884766
4051,2024,6.655239992141723
4061,2024,23.007999931335448
4070,2024,15.669156694986734
4080,2024,13.590361441953116
4090,2024,40.1791165210157
4100,2024,84.80685513305664
4110,2024,3.144698791235805
4130,2024,2.5026350622177125
4140,2024,2.607484000205994
4150,2024,24.954079963684084
4160,2024,31.321258361816405
4170,2024,17.10960004043579
4180,2024,3.906104437318672
4190,2024,13.64891565085415
4191,2024,29.452799987792968
4200,2024,124.69499993896484
4210,2024,250.48995904271385
4220,2024,17.211695503234864
4230,2024,40.01232937732375
4240,2024,12.481526076075545
4250,2024,24.7093975802502
4260,2024,84.69397591587051
4270,2024,14.478232931420504
4280,2024,8.182208827221729
4290,2024,30.583534125822137
4291,2024,181.4232928724174
4292,2024,73.10963841327224
4300,2024,13.976867465130296
4310,2024,14.798714886707474
4320,2024,24.593493940361054
4321,2024,21.459076287756005
4330,2024,7.326867478918359
4331,2024,16.90971885819033
4333,2024,11.000445346600614
4334,2024,9.070562209470204
4335,2024,5.168514042973039
4336,2024,5.725582325793654
4337,2024,4.355748988356185
4338,2024,7.897269063206561
4339,2024,6.743012031876897
4342,2024,11.80610443023314
4344,2024,8.251887572338303
4345,2024,4.93437749219228
4347,2024,9.612610460763957
4348,2024,6.178273061193137
5110,2024,17.752610401934888
6001,2024,53.99899598393574
6002,2024,29.130160657277543
6004,2024,122.04578338377924
6010,2024,29.1281124942274
6012,2024,57.83195475769043
6020,2024,18.07879528367376
6040,2024,17.442489911274738
6050,2024,144.0080616455078
6060,2024,20.06650604493168
6070,2024,59.958032278650734
6090,2024,14.810602410251358
7010,2024,40.21000001525879
7020,2024,52.25622494249459
7030,2024,11.71654615440522
7040,2024,96.11933551160207
7200,2024,163.43373512359986
7201,2024,7.166827324403816
8010,2024,146.04979935611587
8012,2024,17.562891557992224
8020,2024,17.54136541282317
8030,2024,23.41594377004478
8040,2024,17.393012035323913
8050,2024,25.838079942756867
8060,2024,23.53402747495108
8070,2024,20.38072291914239
8100,2024,16.574939727783203
8120,2024,17.65606419436903
8150,2024,16.17614454246429
8160,2024,14.602570254161176
8170,2024,19.00922003173828
8180,2024,22.96233175653052
8190,2024,10.197710868345206
8200,2024,21.857150272369385
8210,2024,224.53413648490445
8230,2024,151.54618476959595
8240,2024,28.81905007171631
8250,2024,32.152811096375245
8260,2024,12.798072244268823
8270,2024,20.64618468380357
8280,2024,18.73566264416798
8300,2024,26.404337304662988
8310,2024,12.159879550397635
8311,2024,15.6538956002538
