symbol,year,predicted_price_rf
1010,2025,31.31863263170346
1010,2026,31.31863263170346
1010,2027,31.31863263170346
1020,2025,14.344360165451784
1020,2026,14.344360165451784
1020,2027,14.344360165451784
1030,2025,21.065543611400443
1030,2026,21.065543611400443
1030,2027,21.065543611400443
1050,2025,20.325922103667928
1050,2026,20.325922103667928
1050,2027,20.325922103667928
1060,2025,38.39773345570553
1060,2026,38.39773345570553
1060,2027,38.39773345570553
1080,2025,22.952516681629103
1080,2026,22.952516681629103
1080,2027,22.952516681629103
1120,2025,86.44646645104349
1120,2026,86.44646645104349
1120,2027,86.44646645104349
1140,2025,30.079756327583016
1140,2026,30.079756327583016
1140,2027,30.079756327583016
1150,2025,32.361387192843985
1150,2026,32.361387192843985
1150,2027,32.361387192843985
1180,2025,37.0883538672494
1180,2026,37.0883538672494
1180,2027,37.0883538672494
1201,2025,14.90243074174345
1201,2026,14.90243074174345
1201,2027,14.90243074174345
1202,2025,36.97353350423073
1202,2026,36.97353350423073
1202,2027,36.97353350423073
1210,2025,35.752787325522306
1210,2026,35.752787325522306
1210,2027,35.752787325522306
1211,2025,39.832696969144514
1211,2026,39.832696969144514
1211,2027,39.832696969144514
1212,2025,163.51940971967875
1212,2026,163.51940971967875
1212,2027,163.51940971967875
1213,2025,63.59592276981843
1213,2026,63.59592276981843
1213,2027,63.59592276981843
1214,2025,26.289308078273812
1214,2026,26.289308078273812
1214,2027,26.289308078273812
1301,2025,29.2366416474278
1301,2026,29.2366416474278
1301,2027,29.2366416474278
1302,2025,45.86566413117177
1302,2026,45.86566413117177
1302,2027,45.86566413117177
1303,2025,8.26741133969797
1303,2026,8.26741133969797
1303,2027,8.26741133969797
1304,2025,31.82198601970936
1304,2026,31.82198601970936
1304,2027,31.82198601970936
1320,2025,61.982632150280075
1320,2026,61.982632150280075
1320,2027,61.982632150280075
1810,2025,26.269665926616703
1810,2026,26.269665926616703
1810,2027,26.269665926616703
1820,2025,9.625512672306417
1820,2026,9.625512672306417
1820,2027,9.625512672306417
1830,2025,177.11137382058766
1830,2026,177.11137382058766
1830,2027,177.11137382058766
1831,2025,8.48271784235416
1831,2026,8.48271784235416
1831,2027,8.48271784235416
2001,2025,21.17144327761272
2001,2026,21.17144327761272
2001,2027,21.17144327761272
2010,2025,68.05211333942565
2010,2026,68.05211333942565
2010,2027,68.05211333942565
2020,2025,122.09136864479512
2020,2026,122.09136864479512
2020,2027,122.09136864479512
2030,2025,72.09573480175786
2030,2026,72.09573480175786
2030,2027,72.09573480175786
2040,2025,26.315519235032326
2040,2026,26.315519235032326
2040,2027,26.315519235032326
2050,2025,61.01414473093116
2050,2026,61.01414473093116
2050,2027,61.01414473093116
2060,2025,15.226925381487774
2060,2026,15.226925381487774
2060,2027,15.226925381487774
2070,2025,32.610896127648026
2070,2026,32.610896127648026
2070,2027,32.610896127648026
2080,2025,95.83890132137559
2080,2026,95.83890132137559
2080,2027,95.83890132137559
2090,2025,25.09409221861178
2090,2026,25.09409221861178
2090,2027,25.09409221861178
2100,2025,41.376950580419035
2100,2026,41.376950580419035
2100,2027,41.376950580419035
2110,2025,87.62429170840336
2110,2026,87.62429170840336
2110,2027,87.62429170840336
2120,2025,38.71686407673681
2120,2026,38.71686407673681
2120,2027,38.71686407673681
2130,2025,26.968289062299874
2130,2026,26.968289062299874
2130,2027,26.968289062299874
2140,2025,16.597092348044846
2140,2026,16.597092348044846
2140,2027,16.597092348044846
2150,2025,51.34131440426042
2150,2026,51.34131440426042
2150,2027,51.34131440426042
2160,2025,58.61731715050553
2160,2026,58.61731715050553
2160,2027,58.61731715050553
2170,2025,44.51568062582359
2170,2026,44.51568062582359
2170,2027,44.51568062582359
2180,2025,46.41948633000123
2180,2026,46.41948633000123
2180,2027,46.41948633000123
2190,2025,34.39052090537569
2190,2026,34.39052090537569
2190,2027,34.39052090537569
2200,2025,17.913752540738646
2200,2026,17.913752540738646
2200,2027,17.913752540738646
2210,2025,38.08984809400492
2210,2026,38.08984809400492
2210,2027,38.08984809400492
2220,2025,18.117862475249474
2220,2026,18.117862475249474
2220,2027,18.117862475249474
2222,2025,30.344682474590474
2222,2026,30.344682474590474
2222,2027,30.344682474590474
2230,2025,8.847076285744267
2230,2026,8.847076285744267
2230,2027,8.847076285744267
2240,2025,23.831849608844973
2240,2026,23.831849608844973
2240,2027,23.831849608844973
2250,2025,21.074542662075512
2250,2026,21.074542662075512
2250,2027,21.074542662075512
2270,2025,306.17247627060914
2270,2026,306.17247627060914
2270,2027,306.17247627060914
2280,2025,60.053573724000564
2280,2026,60.053573724000564
2280,2027,60.053573724000564
2290,2025,42.8110834560895
2290,2026,42.8110834560895
2290,2027,42.8110834560895
2300,2025,69.98537633937852
2300,2026,69.98537633937852
2300,2027,69.98537633937852
2310,2025,31.358551427840574
2310,2026,31.358551427840574
2310,2027,31.358551427840574
2320,2025,37.80870720829116
2320,2026,37.80870720829116
2320,2027,37.80870720829116
2330,2025,32.85670964759176
2330,2026,32.85670964759176
2330,2027,32.85670964759176
2340,2025,18.950900726109037
2340,2026,18.950900726109037
2340,2027,18.950900726109037
2350,2025,9.751126648668091
2350,2026,9.751126648668091
2350,2027,9.751126648668091
2360,2025,49.49082915362994
2360,2026,49.49082915362994
2360,2027,49.49082915362994
2370,2025,38.599262239778476
2370,2026,38.599262239778476
2370,2027,38.599262239778476
2380,2025,10.821374044820857
2380,2026,10.821374044820857
2380,2027,10.821374044820857
3002,2025,11.520418446244564
3002,2026,11.520418446244564
3002,2027,11.520418446244564
3003,2025,20.549438040522784
3003,2026,20.549438040522784
3003,2027,20.549438040522784
3004,2025,10.775197809610221
3004,2026,10.775197809610221
3004,2027,10.775197809610221
3005,2025,17.698105206395777
3005,2026,17.698105206395777
3005,2027,17.698105206395777
3007,2025,37.15283727012159
3007,2026,37.15283727012159
3007,2027,37.15283727012159
3008,2025,9.359711951204991
3008,2026,9.359711951204991
3008,2027,9.359711951204991
3010,2025,31.31990666718763
3010,2026,31.31990666718763
3010,2027,31.31990666718763
3020,2025,34.09148727504931
3020,2026,34.09148727504931
3020,2027,34.09148727504931
3030,2025,42.989237527496286
3030,2026,42.989237527496286
3030,2027,42.989237527496286
3040,2025,56.94313624735502
3040,2026,56.94313624735502
3040,2027,56.94313624735502
3050,2025,37.59746390264304
3050,2026,37.59746390264304
3050,2027,37.59746390264304
3060,2025,33.59387113272658
3060,2026,33.59387113272658
3060,2027,33.59387113272658
3080,2025,37.332227905769926
3080,2026,37.332227905769926
3080,2027,37.332227905769926
3090,2025,15.068412010259005
3090,2026,15.068412010259005
3090,2027,15.068412010259005
3091,2025,14.833220295284297
3091,2026,14.833220295284297
3091,2027,14.833220295284297
4001,2025,13.615864643201954
4001,2026,13.615864643201954
4001,2027,13.615864643201954
4002,2025,103.7316190430939
4002,2026,103.7316190430939
4002,2027,103.7316190430939
4003,2025,93.5200518226229
4003,2026,93.5200518226229
4003,2027,93.5200518226229
4004,2025,146.79819386986998
4004,2026,146.79819386986998
4004,2027,146.79819386986998
4005,2025,180.14461083510415
4005,2026,180.14461083510415
4005,2027,180.14461083510415
4006,2025,29.2919883747063
4006,2026,29.2919883747063
4006,2027,29.2919883747063
4007,2025,45.59971422887273
4007,2026,45.59971422887273
4007,2027,45.59971422887273
4008,2025,32.126094438161445
4008,2026,32.126094438161445
4008,2027,32.126094438161445
4009,2025,80.89602558538576
4009,2026,80.89602558538576
4009,2027,80.89602558538576
4011,2025,13.46976966406429
4011,2026,13.46976966406429
4011,2027,13.46976966406429
4012,2025,5.378879152451467
4012,2026,5.378879152451467
4012,2027,5.378879152451467
4020,2025,21.460947283481246
4020,2026,21.460947283481246
4020,2027,21.460947283481246
4030,2025,23.635688799659132
4030,2026,23.635688799659132
4030,2027,23.635688799659132
4031,2025,43.57384677917794
4031,2026,43.57384677917794
4031,2027,43.57384677917794
4040,2025,19.77869557465369
4040,2026,19.77869557465369
4040,2027,19.77869557465369
4050,2025,54.86988548638203
4050,2026,54.86988548638203
4050,2027,54.86988548638203
4051,2025,10.938035990917378
4051,2026,10.938035990917378
4051,2027,10.938035990917378
4061,2025,23.234958271710525
4061,2026,23.234958271710525
4061,2027,23.234958271710525
4070,2025,17.42216200515863
4070,2026,17.42216200515863
4070,2027,17.42216200515863
4080,2025,12.598331486706657
4080,2026,12.598331486706657
4080,2027,12.598331486706657
4090,2025,38.348103707580805
4090,2026,38.348103707580805
4090,2027,38.348103707580805
4100,2025,91.4393898538317
4100,2026,91.4393898538317
4100,2027,91.4393898538317
4110,2025,3.8773064463916014
4110,2026,3.8773064463916014
4110,2027,3.8773064463916014
4130,2025,4.7763658383443035
4130,2026,4.7763658383443035
4130,2027,4.7763658383443035
4140,2025,11.805443497065607
4140,2026,11.805443497065607
4140,2027,11.805443497065607
4150,2025,26.823326076418407
4150,2026,26.823326076418407
4150,2027,26.823326076418407
4160,2025,33.05054991833452
4160,2026,33.05054991833452
4160,2027,33.05054991833452
4170,2025,11.768383030662049
4170,2026,11.768383030662049
4170,2027,11.768383030662049
4180,2025,4.2569311421436735
4180,2026,4.2569311421436735
4180,2027,4.2569311421436735
4190,2025,17.65984799223533
4190,2026,17.65984799223533
4190,2027,17.65984799223533
4191,2025,30.280130645308915
4191,2026,30.280130645308915
4191,2027,30.280130645308915
4200,2025,116.79027706775926
4200,2026,116.79027706775926
4200,2027,116.79027706775926
4210,2025,199.04737448689824
4210,2026,199.04737448689824
4210,2027,199.04737448689824
4220,2025,19.757480604980113
4220,2026,19.757480604980113
4220,2027,19.757480604980113
4230,2025,35.41443436576648
4230,2026,35.41443436576648
4230,2027,35.41443436576648
4240,2025,13.078150641132753
4240,2026,13.078150641132753
4240,2027,13.078150641132753
4250,2025,25.086248921709533
4250,2026,25.086248921709533
4250,2027,25.086248921709533
4260,2025,87.8206617716938
4260,2026,87.8206617716938
4260,2027,87.8206617716938
4270,2025,16.621062398086746
4270,2026,16.621062398086746
4270,2027,16.621062398086746
4280,2025,13.384515740673132
4280,2026,13.384515740673132
4280,2027,13.384515740673132
4290,2025,31.18800087570856
4290,2026,31.18800087570856
4290,2027,31.18800087570856
4291,2025,151.1761990557181
4291,2026,151.1761990557181
4291,2027,151.1761990557181
4292,2025,66.71850408581366
4292,2026,66.71850408581366
4292,2027,66.71850408581366
4300,2025,17.723484049617692
4300,2026,17.723484049617692
4300,2027,17.723484049617692
4310,2025,14.112463271055692
4310,2026,14.112463271055692
4310,2027,14.112463271055692
4320,2025,23.28990756737492
4320,2026,23.28990756737492
4320,2027,23.28990756737492
4321,2025,24.568703348438113
4321,2026,24.568703348438113
4321,2027,24.568703348438113
4330,2025,11.436642900619136
4330,2026,11.436642900619136
4330,2027,11.436642900619136
4331,2025,18.30096721535075
4331,2026,18.30096721535075
4331,2027,18.30096721535075
4333,2025,11.785438662956777
4333,2026,11.785438662956777
4333,2027,11.785438662956777
4334,2025,9.140369416376823
4334,2026,9.140369416376823
4334,2027,9.140369416376823
4335,2025,9.6614609983412
