symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de
1320,2024,510000000,913171868,180630645,0.22802,0.08897,18.3794,3.542,17.064,0.6368
1321,2021,,,,,,,,,
1321,2022,210000000,380928570,-3245320,-0.0063,-0.00362,-373,-0.1,16.3489,0.5686
1321,2023,315000000,371875930,99920835,0.17678,0.10612,25.7098,3.17,19.5378,0.419
1321,2024,315000000,634894318,267507881,0.36461,0.21624,16.5371,8.49,27.0449,0.3463
2001,2021,674508630,884025310,244004449,0.23956,0.12825,9.9448,3.62,15.0895,0.6772
2001,2022,674508630,574459404,206428499,0.1843,0.11162,8.268,3.06,18.098,0.3062
2001,2023,674508630,608379362,-177800467,-0.15719,-0.10322,-7.6515,-2.64,15.4157,0.3584
2001,2024,674508630,1044184111,-286229346,-0.3164,-0.16614,-4.5792,-4.04,11.3882,0.8681
2010,2021,30000000000,107522000000,23066002000,0.12804,0.07223,15.0845,7.69,60.0469,0.2141
2010,2022,30000000000,95488558000,16529722000,0.09028,0.05227,16.225,5.51,62.0154,0.1871
2010,2023,30000000000,99097911000,-2772282000,-0.01569,-0.00913,-90.7609,-0.92,55.8095,0.2001
2010,2024,30000000000,94100634000,1538542000,0.00949,0.00538,131.3725,0.51,52.2777,0.2244
2020,2021,4760354000,2825888000,5228016000,0.33619,0.26333,16.0838,10.98,32.6673,0.0115
2020,2022,4760354000,6086708000,10036764000,0.56633,0.42792,6.9355,21.08,41.791,0.0124
2020,2023,4760354000,6504221000,3659449000,0.19446,0.13978,17.9714,7.69,37.271,0.012
2020,2024,4760354000,6010543000,3327172000,0.18374,0.13093,15.8798,6.99,38.8068,0.0104
2060,2021,6689142000,13417283000,1356388000,0.15587,0.0543,9.8325,2.03,13.0092,0.9351
2060,2022,6689142000,12262471000,666346000,0.07276,0.02685,12.36,1,14.374,0.741
2060,2023,6689142000,13193460000,201628000,0.0209,0.00806,41.2667,0.3,14.4661,0.7486
2060,2024,6689142000,14357485000,102802000,0.01064,0.00397,67.7333,0.15,14.4326,0.9699
2090,2021,316666667,27928037,20759125,0.04489,0.04234,68.1818,0.66,14.6024,0.0159
2090,2022,316666667,43068954,-6442845,-0.01573,-0.01448,-111.1,-0.2,11.262,0.0189
2090,2023,316666667,44105330,5127534,0.01427,0.01272,146.5,0.16,11.4361,0.0169
2090,2024,316666667,28308897,-12693428,-0.0358,-0.03248,-54.35,-0.4,10.9586,0.016
2150,2021,329000000,126963841,51114630,0.07984,0.06663,28.3871,1.55,19.4589,0.1177
