base_symbol,year,avg_close_price
1010,2010,13.918072289156626
1010,2011,12.339354838709676
1010,2012,11.85406374501992
1010,2013,12.582943548387098
1010,2014,18.63336
1010,2015,15.770039840637452
1010,2016,10.911124497991969
1010,2017,11.0604
1010,2018,15.61032128514056
1010,2019,24.28936
1010,2020,18.88737051613546
1010,2021,25.35783998868
1010,2022,35.00302415491935
1010,2023,29.94397591582329
1020,2010,9.117991967871486
1020,2011,9.295927419354838
1020,2012,13.092948207171316
1020,2013,15.725120967741937
1020,2014,22.0478
1020,2015,17.81454183266932
1020,2016,8.959799196787147
1020,2017,10.79952
1020,2018,13.5970281124498
1020,2019,15.0756
1020,2020,10.33854978113546
1020,2021,13.94956800848
1020,2022,19.399258032862903
1020,2023,14.31800806313253
1030,2010,11.99730923694779
1030,2011,13.26350806451613
1030,2012,12.690677290836652
1030,2013,16.32858870967742
1030,2014,22.092080000000003
1030,2015,19.44745019920319
1030,2016,12.04012048192771
1030,2017,13.69336
1030,2018,17.027871485943773
1030,2019,17.85856
1030,2020,8.912203591079681
1030,2021,10.233997871116
1030,2022,15.159154588790322
1030,2023,13.095261053212852
1050,2010,26.9670281124498
1050,2011,26.28939516129032
1050,2012,25.228326693227093
1050,2013,24.145967741935483
1050,2014,32.3576
1050,2015,33.126932270916335
1050,2016,23.76261044176707
1050,2017,27.61976
1050,2018,31.905261044176708
1050,2019,36.7904
1050,2020,31.48657372422311
1050,2021,37.87200005324
1050,2022,48.178830654516126
1050,2023,38.37289169807229
1060,2010,22.327148594377512
1060,2011,20.689112903225805
1060,2012,21.758446215139443
1060,2013,24.70423387096774
1060,2014,34.59296
1060,2015,32.452988047808766
1060,2016,20.96538152610442
1060,2017,24.3366
1060,2018,31.44734939759036
1060,2019,36.1404
1060,2020,25.29569720059761
1060,2021,29.94152006568
1060,2022,40.36451621197581
1060,2023,35.87650600883534
1080,2010,17.880682730923695
1080,2011,17.044395161290325
1080,2012,16.06035856573705
1080,2013,16.62302419354839
1080,2014,19.76724
1080,2015,20.71685258964144
1080,2016,12.624979919678715
1080,2017,14.66104
1080,2018,20.608072289156627
1080,2019,24.63744
1080,2020,15.629223082868526
1080,2021,16.47725998332
1080,2022,22.683417351008064
1080,2023,19.463584386546188
1120,2010,46.80602409638554
1120,2011,44.142580645161296
1120,2012,43.79717131474104
1120,2013,43.04564516129032
1120,2014,43.31544
1120,2015,38.02378486055777
1120,2016,36.63277108433735
1120,2017,41.73136
1120,2018,53.2566265060241
1120,2019,66.05352
