base_symbol,first_date,last_date,first_year,last_year,source
2380,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2381,2022-11-09,2025-11-02,2022,2025,yahoo_period_max
2382,2023-10-11,2025-11-02,2023,2025,yahoo_period_max
3002,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3003,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3004,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3005,2015-12-21,2025-11-02,2015,2025,yahoo_period_max
3007,2017-09-17,2025-11-02,2017,2025,yahoo_period_max
3008,2019-11-04,2025-11-02,2019,2025,yahoo_period_max
3010,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3020,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3030,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3040,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3050,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3060,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3080,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3090,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3091,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3092,2020-09-03,2025-11-02,2020,2025,yahoo_period_max
4001,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4002,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4003,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4004,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4005,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4006,2014-06-24,2025-11-02,2014,2025,yahoo_period_max
4007,2014-07-15,2025-11-02,2014,2025,yahoo_period_max
4008,2015-12-21,2025-11-02,2015,2025,yahoo_period_max
4009,2016-03-29,2025-11-02,2016,2025,yahoo_period_max
4011,2016-06-29,2025-11-02,2016,2025,yahoo_period_max
4012,2019-11-11,2025-11-02,2019,2025,yahoo_period_max
4013,2020-03-17,2025-11-02,2020,2025,yahoo_period_max
4014,2022-03-08,2025-11-02,2022,2025,yahoo_period_max
4015,2023-06-20,2025-11-02,2023,2025,yahoo_period_max
4016,2024-02-27,2025-11-02,2024,2025,yahoo_period_max
4017,2024-06-05,2025-11-02,2024,2025,yahoo_period_max
4018,2025-01-07,2025-11-02,2025,2025,yahoo_period_max
4019,2025-06-25,2025-11-02,2025,2025,yahoo_period_max
4020,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4030,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4031,2015-12-21,2025-11-02,2015,2025,yahoo_period_max
4040,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4050,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4051,2019-12-04,2025-11-02,2019,2025,yahoo_period_max
4061,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4070,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4071,2021-12-20,2025-11-02,2021,2025,yahoo_period_max
4072,2024-01-08,2025-11-02,2024,2025,yahoo_period_max
4080,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4081,2021-12-08,2025-11-02,2021,2025,yahoo_period_max
4082,2023-06-21,2025-11-02,2023,2025,yahoo_period_max
4083,2024-12-03,2025-11-02,2024,2025,yahoo_period_max
4084,2025-03-10,2025-11-02,2025,2025,yahoo_period_max
4090,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4100,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4110,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4130,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4140,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4141,2020-07-21,2025-11-02,2020,2025,yahoo_period_max
4142,2022-12-22,2025-11-02,2022,2025,yahoo_period_max
4143,2024-06-11,2025-11-02,2024,2025,yahoo_period_max
4144,2022-02-21,2025-11-02,2022,2025,yahoo_period_max
4145,2022-05-10,2025-11-02,2022,2025,yahoo_period_max
4150,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4160,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
