symbol,distribution_date,dividend_amount
4260,2024-08-28,0.45
9403,2024-08-19,0.045
4322,2024-10-10,0.16
4150,2024-09-19,0.25
4348,2024-10-06,0.105
4164,2024-08-25,2.5
4340,2024-08-29,0.13
4016,2024-09-15,0.75
1830,2024-08-22,0.95
1303,2024-08-28,0.1
2284,2024-08-14,1.0
4144,2024-08-14,0.75
4003,2024-08-15,2.0
3010,2024-08-15,0.75
4013,2024-08-19,1.17
4012,2024-08-18,0.09
4191,2024-09-10,0.5
2283,2024-08-13,1.55
7010,2024-08-15,0.4
4143,2024-12-01,1.5
4336,2024-09-05,0.08
4339,2024-08-22,0.06
4345,2024-08-01,0.15
4344,2024-08-22,0.125
9404,2024-07-21,0.123
2250,2024-07-22,0.5
9403,2024-07-17,0.008
2310,2024-07-11,0.5
4004,2024-08-14,0.5
7040,2024-09-30,0.3
3030,2024-06-26,1.25
2080,2024-07-22,1.1
2290,2024-08-20,1.0
2020,2024-07-22,3.0
8210,2024-07-17,4.0
4162,2024-06-26,1.25
1321,2024-08-21,1.5
1320,2024-07-07,0.74
8012,2024-10-10,0.3
2010,2024-09-24,1.7
4263,2024-06-12,1.76
6014,2024-07-15,0.4
4007,2024-06-05,0.35
4013,2024-06-10,1.17
3060,2024-06-11,0.75
4321,2024-07-18,0.375
4161,2024-06-09,0.1
4261,2024-06-04,0.47
4344,2024-07-11,0.125
4082,2024-08-14,0.35
4342,2024-06-27,0.2
4001,2024-06-12,0.15
4190,2024-05-29,0.19
2281,2024-07-04,1.9
4144,2024-05-28,0.75
7010,2024-06-10,0.4
2222,2024-05-23,0.4815
1830,2024-06-25,0.97
4333,2024-05-29,0.16
1150,2024-06-02,0.25
4340,2024-05-30,0.135
9403,2024-05-19,0.039
4348,2024-07-18,0.105
4005,2024-06-12,2.0
4336,2024-05-30,0.08
4701,2024-05-13,0.185
8170,2024-06-10,0.6
8010,2024-07-07,1.0
8250,2024-06-30,1.5
4015,2024-06-13,1.5
3090,2024-07-16,0.25
2284,2024-07-07,1.0
4011,2024-06-10,0.3
4335,2024-05-23,0.1
1831,2024-04-22,0.075
9403,2024-04-17,0.0283
2320,2024-06-26,1.0
4050,2024-07-01,0.75
1212,2024-06-30,2.5
4090,2024-06-03,0.65
2270,2024-05-28,6.0
1833,2024-04-17,1.0
4280,2025-01-15,0.07
4280,2024-10-16,0.07
4280,2024-08-15,0.07
4280,2024-06-25,0.07
2282,2024-06-06,0.5
6014,2024-04-25,0.4
4321,2024-04-16,0.75
4100,2024-06-13,1.5
4260,2024-06-06,1.0
4330,2024-04-25,0.15
6004,2024-04-24,1.1
3004,2024-04-24,0.25
4030,2024-07-01,0.55
1830,2024-04-03,1.33
4051,2024-06-25,1.1
2150,2024-05-27,0.5
4007,2024-04-04,0.35
4338,2024-03-31,0.25
2381,2024-04-02,2.53
2120,2024-06-30,1.0
4164,2024-04-02,3.0
3050,2024-05-29,0.65
4261,2024-04-01,0.41
4334,2024-03-28,0.33
1303,2024-04-24,0.075
2190,2024-04-18,0.4
2283,2024-04-23,1.41
3080,2024-04-04,1.0
3010,2024-05-09,0.75
1111,2024-05-06,2.3
4150,2024-05-14,0.5
2222,2024-03-28,0.4815
7203,2024-03-25,4.0
4142,2024-05-06,1.5
2083,2024-03-27,1.1
4320,2024-03-26,0.25
4003,2024-03-21,2.0
4190,2024-03-20,0.23
5110,2024-05-30,0.7
6070,2024-04-30,0.5
4263,2024-03-25,1.51
7030,2024-07-18,0.5
1302,2024-04-29,0.85
9403,2024-03-19,0.0241
2082,2024-05-13,0.45
3007,2024-06-12,1.35
4322,2024-05-16,0.16
2223,2024-04-18,5.0
2270,2024-03-19,6.0
6016,2024-04-28,0.14
1180,2024-05-14,0.9
1120,2024-04-03,1.15
3001,2024-03-14,0.35
3040,2024-04-04,0.65
4144,2024-03-14,0.75
4012,2024-03-21,0.1
4332,2024-04-01,0.13
7010,2024-05-15,1.0
7010,2024-03-14,0.4
1030,2024-03-06,0.45
4013,2024-03-04,1.15
7202,2024-06-26,6.0
6015,2024-05-20,0.0802
3003,2024-03-04,0.4
1010,2024-04-02,0.75
3020,2024-04-21,1.0
7020,2024-07-15,1.45
1060,2024-05-13,0.98
3030,2024-05-08,1.0
4001,2024-03-07,0.3
1050,2024-06-11,1.0
1080,2024-02-25,0.7
1140,2024-05-16,0.5
4342,2024-03-14,0.2
4346,2024-03-12,0.08
4700,2024-02-25,0.29
9403,2024-02-18,0.0465
4348,2024-04-01,0.105
4340,2024-02-29,0.14
4200,2024-05-20,1.0
4339,2024-04-04,0.086
4336,2024-03-03,0.1
4333,2024-02-08,0.16
1322,2024-01-21,0.65
4345,2024-01-23,0.17
4163,2024-02-25,1.25
9403,2024-01-17,0.0083
9404,2024-01-16,0.08
4145,2024-04-01,2.0
4344,2024-02-15,0.1455
